tag_filename,annotation
29878.txt,"The balcony is located in the north west corner, It is next to kitchen,The size of the room is 4 feet width  and  4 feet length The bathroom is located in the northeast corner  side, It is next to  living , The size of the room is 5  feet width  and  8  feet length The common room is located in the west side, It is next to living and in between master and kitchen , The size of the room is 10  feet width  and 10  feet length The kitchen is located in the north side, It is next to living room and common, The size of the room is  6 feet width  and  9 feet length The living room is located in the north side, It is in center of all other rooms, The size of the room is 12   feet width  and  27  feet length The master room is located in the southwest corner, It is next to living room and common, The size of the room is 10 feet width  and 11  feet length "
11459.txt,"The balcony is located on the south ,it is next to living ,The size of the room is 4  feet width  and 6  feet length The bathroom is located on the northeast corner,it is next to living and kitchen,The size of the room is 5 feet width  and 5  feet length The common room is located on the west side,it is  next to living an master room,The size of the room is 8 feet width  and 9  feet length The kitchen is located on the east side,it is next to living and bath,The size of the room is 7 feet width  and 7  feet length The living room is located on the from south to north and occupies southwest corner and south east,it is in front of all other rooms The size of the room is 10 feet width  and 25  feet length The master room is located on the northwest corner,it is next to living and common,The size of the room is 10 feet width  and 11  feet length "
16336.txt,The balcony was right corner in the living room and it's size is 10*2 The bathroom was straight in the living room and it's size is 4*3 The common room was left in the entrance and it's size is 10*6 The dining room was left of the living room and it's size is 6*4 The kitchen was in the left side corner in home and it's size is 8*6 The living room was in the entrance of the room and it's size was 12*11 The master room was in the right side of the living room andit's size was 10*10 
2572.txt,"Balcony location: South Side, Relationship:the location: Next to living,  Area:50 sqrt feet   Sides: 10 feet width and 5 feet length.. Bathroom 1 location:South est corner , Relationship:the location: Next to living ,  Area:200 sqrt feet   Sides: 20 feet width and 10 feet length.. Location:North Side, Relationship:the location: Between Com2,  Area:25 sqrt feet   Sides: 5 feet width and 5 feet length.. Comon room 1 location:North side, Relationship:the location: Next to Living,  Area:100 sqrt feet   Sides: 10 feet width and 10 feet length.. Comon room 2 location:North East Corner, Relationship:the location: next to living,  Area:100 sqrt feet   Sides: 10 feet width and 10 feet length.. Location  :South East Corner, Relationship:the location: relatively close to the rooms, Com1 and balcony,  Area:600 sqrt feet   Sides: 20 feet width and 30 feet length.. Master room location:South est corner , Relationship:the location: Next to living ,  Area:200 sqrt feet   Sides: 20 feet width and 10 feet length.. "
6714.txt,The tiny balcony is situated in the north east corner of the home .The width of the balcony is almost 50% of the living room. This balcony can be accessed either through kitchen or bathroom 1. The bathroom1 is located west of the kitchen and this width is 50% size of the balcony. This bathroom is the biggest in the home. It is in the middle of common room and kitchen. The bathroom can only be accessed through master room. This is the smallest of the two bathroom in the home. This bathroom is located in the north west corner of the master room. The common room 1 is almost half of the size of living room. This room is located in the north west corner of the home. This room can be utilized as a library or a study room. The common room 2 is located in the south east corner of the home. The size is approximately 75% of the master room. It can be accessed through living room. This can be used as a guest room or utility room. The kitchen is located in the north side of the home next to balcony and is the east corner of the home sharing the width of balcony with a bathroom. The kitchen is almost 1/4 th width of the living room.It can be accessed through living room. The living room has been placed in center point of home. The Width of the living room(East-west] is almost equal to the width of the home. This room is the center point of access to all other rooms in the home. The master room has been located in south west corner of the home. It have an attached bathroom. The width of the room is almost half the size(approx. 10 feet ) of the living room. 
53118.txt,balcony 1 in front room as bathroom and kitchen.it is 15 feet length and 2 feet width aspect ratio as 5 over 1. Balcony 2 is entrance from living room .it is 12 feet length and 2 feet width aspect ratio as 5 over 1. Bathroom is entrance from living room .it is 3 feet length and 5 feet width aspect ratio as 1 over 2 Common room 1 is entrance from living room .it is 10 feet length and 15 feet width aspect ratio as 4 over 5. Common room2 is entrance from living room .it is 10 feet length and 10 feet width aspect ratio as 4 over 4. kitchen is entrance from living room .it is 8 feet length and 5 feet width aspect ratio as 4 over 2. living room is entrance from west side.it is 15 feet length and 40 feet width aspect ratio as 5 over 9.it is the big place compared to other rooms it is around all other rooms. Master room is entrance from living room .it is 15 feet length and 20 feet width aspect ratio as 5 over 6.it is southeast corner room. 
33834.txt,"Balcony 1 location:South Side, Relationship:the location: Next to kitchen,  Area:50 sqrt feet   Sides: 10 feet width and 5 feet length.. Balcony 2 location:North Side, Relationship:the location: Next to Living,  Area:50 sqrt feet   Sides: 10 feet width and 5 feet length.. Bathroom location:South Side, Relationship:the location: Next to com2 and Living,  Area:100 sqrt feet   Sides: 10 feet width and 10 feet length.. Comon room 1 location:South side, Relationship:the location: between living and master,  Area:100 sqrt feet   Sides: 10 feet width and 10 feet length.. Comon room 2 location:South west Corner, Relationship:the location: Next to bath and master,  Area:200 sqrt feet   Sides: 10 feet width and 20 feet length.. Kitchen location:South Side, Relationship:the location: Next to  living,  Area:50 sqrt feet   Sides: 5 feet width and 10 feet length.. Living room location: North side, Relationship:the location: next to com1 and bath,  Area:500 sqrt feet   Sides: 25 feet width and 20 feet length. Master room location:West side , Relationship:the location: next to  com1 ,  Area:200 sqrt feet   Sides: 20 feet width and 10 feet length.. "
33607.txt,"The balcony is located in the southwest corner side, It is next to living   , The size of the room is  2 feet width  and 10   feet length The bathroom is located in the northe  side, It is between common 1 and master  , The size of the room is 5  feet width  and  8  feet length Common room 1 is located in the northeast corner, It is next to kitchen  and living room  , The size of the room is 10 feet width  and  12 feet length Common room 2 is located in the south west corner, It is next to kitchen and near to bath , The size of the room is 09  feet width  and 10  feet length The kitchen is located in the east side, It is between common 1 and common 2, The size of the room is 5  feet width  and  8  feet length The living room is located in the south side, It is in center of all other rooms, The size of the room is 15 feet width and 15  feet length The master room is located in the north west corner, It is next to living and b, The size of the bathroom is 10 feet width  and  10 feet length "
68165.txt,The balcony is at the bottom right and is 10 feet wide by 5 feet tall. The bathroom is above the kitchen and is 5 feet by 5 feet. Common room 1 is below the bathroom and is 10 feet wide by 5 feet tall. Common room 2 is 10 feet wide and 20 feet tall. Common Room 3 is in the upper right above the living room and is 5 feet wide by 10 feet tall. The kitchen is to the left of common room 3 and is 10 feet wide and 5 feet tall. The living room takes up most of the right side and is 10 feet wide and 30 feet tall. 
77045.txt,The balcony is located is above the bathroom. It is 5' x 5'. The bathroom is located north of the living room and in between the master room and the common room with the door facing the living room.  It is a 5' x 5' room. The common room is located north of the kitchen and east of the bath room. It is a 10' x 10' room. The kitchen is located east of the living room and south of the common room.  It is a 10' x 5' room. The living room is located in the southern most part of the house with the front door in the south east corner and it is connected to all other rooms. It is a 20' x 20' room. The master room is located north of the living room and west of the bathroom. It is a 15' x 15' room. 
61141.txt,"The balcony is in the southeastern corner of the floor plan. The balcony is the southernmost part of the floor plan. The master room is directly above the balcony. The master room is the only connecting room of the balcony. The bathroom is in the northwestern corner of the floor plan. The bathroom is roughly 5 feet by 11 feet. The kitchen is below and to the left of the bathroom and the living room is below and to the right of the bathroom. The front door is to the right of the bathroom. The common room is in the southwestern corner of the floor plan. The common room is roughly 15 feet by 12 feet. The kitchen is directly above the common room and the master room is directly to the right. The kitchen is on the western side of the floor plan. The kitchen is roughly 7 feet by 11 feet. The common room is directly under the kitchen and the living room and bathroom are to the right. The living room is in the northeast corner of the floor plan. The living room is roughly 20 feet by 20 feet, with irregular sides. The front door opens into the living room. The bathroom and kitchen are to the left of the living room, the common room is down and to the left of the living room. The master room and balcony are directly below the living room. The master room is in the southeast corner of the floor plan, but is not the southern most room. The master room is roughly 15 feet by 12 feet. The balcony is directly under the master room. The common room is to the left of the master room and the living room is directly above the master room. "
43486.txt,The balcony is located on the north side and attached with master. size is 12x5 Bathroom 1 is located in the east side and next to bath2. size is 7x7 Bathroom 2 is located in the east side and near to bath1. size is 7x7 The common room is located in the northwest corner and next to master. size is 10x10 The kitchen is located on the southeast corner and next to the living. size is 10x8 east facing living The living room is located on west side and near to all other rooms. size is 24x26 The master room is located on the east side and attach with balcony and bath1. size is 12x12 
33175.txt,"A 10ft x 3ft balcony , located in the southeast of the structure, directly south of the living room and east of the master bedroom, A 4ft x 3ft bathroom located in the west of the structure, south of the common room, west of the living room and directly north of the master bedroom The common room is a 8ft x 7ft structure located in the northwest corner of the structure, northwest of the living room and north of the bathroom The kitchen is a 5ft x 7ft room located in the northeast of the structure, northeast of the living room and near the entrance to the structure The living room is a 12ft x 35ft room in the central part of the structrure, southwest of the kitchen, north of the balcony, northeast of the master bedroom, east of the bathroom and southeast of the common room The master room is a 10ft x 12ft room in the southwest corner of the structure, west of the balcony, southwest of the living room and directly south of the bathroom "
24409.txt,"Balcony 1 is the northern most part of the floor plan. With everything else to its south. Its roughly 10ft by 5ft. Balcony 2 is the southern most part of the floor plan with everything else on the floor plan being to its north. It's roughly about 12ft by 5ft. Bathroom is on the east facing wall of the floor plan. It is central and to its west is the living room and to its south is the master bedroom. It is 8ft by 10ft. Common room is on the western edge of the floor plan. To its east is the living room, to its south is the master bedroom and to its north is the living room. It's roughly 13ft by 13ft. Kitchen is in the North West corner of the floor plan. To its north is the balcony and to its east is the living room. It's roughly a 8ft by 12ft room. Living room extends from the center towards the north east corner of the floor plan. To its west is the kitchen and to its south is the master bedroom. It's roughly about 20ft by 25ft. Master bedroom is in the south east corner of the floor plan. To its west is common room 1 and to its north is the living room. It's a 12ft by 15ft room. "
5584.txt,"Balcony 1 is located on the northern side of the unit.  It is adjacent to the living room and master bedroom. It appears to be 10'x5' SF. Balcony 2 is located on the southeast corner of the unit, adjacent to the kitchen.  It appears to be accessible from the living room. It also appears to be 15'x5' SF. The bathroom is located on the western side of the unit, accessible via the living room, common room, and master bedroom.  It is the smallest room in the house, coming in at approximately 8'x4' SF. The common room is adjacent to the living room and the bathroom. It appears to be slightly less than a 13'x13' due to the bathroom walls taking up space in the northwest corner of the room. The kitchen is located on the eastern side of the unit, with access to the living room and possibly the balcony.  It appears to be 10'x9' SF. The living room is adjacent to all rooms in the house.  It has access to both Balcony 1 and Balcony 2.  The main entry to the unit is located on the eastern wall of the living room.  All rooms are accessible via the living room.  It is the largest room in the house, and while I cannot accurately calculate the square footage, it has several different areas that could be used as different nooks for reading, an office, etc. The master room is located on the western side of the unit, with access to the bathroom, living room and balcony 1.  It appears to be approximately 12'x12' SF. "
51096.txt,"The balcony is on the north end of the house. It is approximately 4x8 feet; 32 square feet. It is adjacent to common room 2, the master, and the living room. The master is west of the balcony, common room 2 is south of the balcony, and the living room is east of the balcony. The bathroom is on the south west end of the house. It is approximately 5x5 feet; 25 square feet. It is adjacent to the living room and the master. The living room is east of the bathroom, and the master is north of the bathroom. Common room 1 is on the north east end of the house. It is approximately 12x10 feet; 120 square feet. It is adjacent to the living room and kitchen. The living room is west of common room 1, and the kitchen is south of common room 1. Common room 2 is on the north west end of the house; inferior to the balcony and east of the master room. It is approximately 8x8 feet; 64 square feet. The living room is east of common room 2, the balcony is north of common room 2, and the master is west of common room 2. The kitchen is on the south east end of the house. It is approximately 5x7 feet; 35 square feet. It is adjacent to the living room, and common room 1. The living room is west of the kitchen, and common room 1 is north of the kitchen. The living room is on the south end of the house. It is approximately 250 square feet. It is adjacent to every room in the house. The kitchen is east of the living room, common room 1 is north east of the living room, the bathroom is west of the living room, and the master, common room 2, and balcony are north west of the living room, The master is on the north west end of the house. It is approximately 12x10 feet; 120 square feet. It is adjacent to the bathroom, living room, balcony, and common room 2. The bathroom is south of the master, the common room is east of the master, the balcony is north east of the master, and the living room is south east of the master. "
6933.txt,"The balcony is at the bottom of the floor. It only touches the master room and is about 10 feet by 6 feet. The bathroom is in the middle in the floor. It is next to the master room, living room and the common room. It is about 8 feet by 10 feet. The common room is at top, right corner of the floor. It is next to the living room and bathroom. It's size is 12 feet by 14 feet. The kitchen is at the top, left corner of the house. It only touches the living room and it's size is 8 feet by 18 feet. The living room is at the top, left side of the floor. It's next to the kitchen, bathroom, common room and master room. It's size is  28 feet by 42 ft. The master room is at the bottom side of the floor. It is next to the bathroom, balcony and living room. Also, it's size is about 12 feet by 18 feet. "
54688.txt,"The balcony is located in the southwest area, between the master room and common room 2. It is approximately 40 square feet in area and can be easily accessed from the master room. Bathroom 1 is located in the northeast area of ââthe apartment, next to the living room, kitchen and main entrance of the apartment. It is a small bathroom with an area of ââapproximately 40 square feet. Bathroom 2 is located in the south center of the apartment, belongs to the master bedroom and is located next to the balcony. It has an approximate area of ââ64 square feet. Common room 1 is the second largest room in the apartment, it is located in the southeast area and has an area of ââapproximately 150 square feet. Common room 2 has an area of ââ100 square feet and is located in the southwest area of ââthe apartment, between the balcony and the living area. The kitchen is located in the north, next to the main entrance of the apartment. This has an area of ââapproximately 50 square feet and with access to the living room for greater comfort. The living room is located in the center of the apartment, it has an area of ââ300 square feet. It is the main area between the bedrooms and the kitchen. The master bedroom is located at the back of the apartment (South) next to bathroom 2. It has an area of ââ100 square feet, and has access to the balcony and common room 1. "
68159.txt,"Bath: north-east side between kitchen and living 08:05 feet Com1: south side facing common room 3, common room 2 and living 25:06 feet Com2: south-east side between living room and common room 1 in front of common room3 Com3: west side next to common room 2 between master living and common room 1 15:08 feet Kitchen: northeast corner between bath and living 13:12 feet Living:northeast side surrounded by master kitchen bath cam 2 cam 1, 28:20 feet Master: northwest corner between living and cam3 24:12 feet "
17955.txt,"The balcony bumps out on the west side with living room to the east and exterior walls on the other 3.  It is approximately 5 feet wide by 11 feet high, giving it a square footage of 55. Bathroom 1 is in the northeast corner with common room 2 to the south and the master room to the west. It is approximately 12 feet wide by 5 feet high, giving it a square footage of 60. Bathroom 2 is on the east side with common room 2 to the north and living room area to the south and west.  It is approximately 12 feet wide by 4 feet high, giving it a square footage of 48. Common Room 1 is on the west side, with the master room to the north, and living room area to the east and south.  It is approximately 12 feet wide by 8 feet high, giving it a square footage of 96. Common Room 2 is on the east side with bathroom 1 to the north, bathroom 2 to the south and living room to the west.  It is approximately 12 feet wide by 8 feet high, giving it a square footage of 96. The kitchen is in the southeast corner with the living room on the western and northern sides.  It is approximately 12 feet wide by 12 feet high, giving it a square footage of 144. The living room is a cross shape with external side to the east and south. The north east inset corner abuts common room 2 and bath 2, the southeast inset corner is the kitchen. The west edge is a balcony, and the inset northwest corner is the master room and common room 1. The top edge is also the master room. Each area is about 10 x 10' on the cross plus the center, totals approx. 500 sq. ft. The master room is in the northwest corner with bathroom 1 to the east and an inset southeast corner containing living area. Common area 1 is to the south at the western side. It is approximately 25 feet wide by 10 feet high, minus the inset living area, giving it a square footage of 108. "
79732.txt,THE BALCONY IS LOCATED ON NORTH WEST CORNER.IT IS LOCATED NEARBY COMMON ROOM 2.THE FLOOR AREA IS 150 SQUARE FEET. BATHROOM 1 IS LOCATED ON SOUTH SIDE.IT IS LOCATED NEARBY COMMON  ROOM1.THE FLOOR AREA IS 35 SQUARE FEET. BATHROOM 2 IS LOCATED ON EAST SIDE.IT IS LOCATE DIN BETWEEN KITCHEN AND MASTER ROOM.THE FLOOR AREA IS 40 SQUARE FEET. COMMON ROOM 1 IS LOCATED ON SOUTH WEST CORNER.IT IS LOCATED NEARBY BATH ROOM 1.THE FLOOR AREA IS 120 SQUARE FEET. COMMON ROOM 2 IS LOCATED ON WEST SIDE.IT IS LOCATED IN BETWEEN BALCONY AND COMMON ROOM 1.THE FLOOR AREA IS 72 SQUARE FEET. THE KITCHEN IS LOCATED ON SOUTH EAST CORNER.IT IS LOCATED NEARBY BATH ROOM 2.THE FLOOR AREA IS 48 SQUARE FEET. THE LIVING ROOM IS LOCATE DON SOUTH SIDE.IT IS LOCATED IN BETWEEN MASTER ROOM AND COMMON ROOM 2.THE FLOOR AREA IS 375 SQUARE FEET. THE MASTER ROOM IS LOCATED ON EAST SIDE.IT IS LOCATED NEARBY BATH ROOM 2.THE FLOOR AREA IS 180 SQUARE FEET. 
13299.txt,"The balcony is on the south side of the apartment next to the second common room and the living room. It is approximately 5â x 25â The bathroom is on the north side of the apartment, between the living room in the first common room. It is approximately 5' x 5' The first common rooms on the east side of the apartment next to the second common room and the bathroom. It is approximately 10â x 10â The second common room is on the east side of the apartment next to the balcony and the living room. It is approximately 10â x 12â The living room is on the west side of the apartment next to the balcony and the bathroom. It is approximately 15â x 40â "
74202.txt,"The balcony is in the southeast corner, south of the living room. It is about 15 feet wide and 4 feet deep. Bathroom 1 is on the north side, south of the kitchen and east of common room 1. It is about 6 feet wide and 10 feet long. Bathroom 2 is on the west side, between common room 1 and the master room. It is about 7 feet square. Common room 1 is in the northeast, west of bathroom 1 and north of bathroom 2. It is about 11 feet square. Common room 2 is on the south side, east of the master room and west of the living room. It is about 11 feet wide and 9 feet deep. The kitchen is in the northeast corner, north of the living room and the bathroom. It is about 30 feet wide and 6 feet deep. The living room is on the east side, with the kitchen to the north, the balcony to the south, and the other rooms to the west. It is about 30 feet long and 14 feet wide. The master room is in the southwest corner, south of the bathroom and west of common room 2. It is about 15 feet long and 12 feet wide. "
59390.txt,THE BALCONY IS LOCATED ON SOUTH EAST CORNER.THE BALCONY IS LOCATED NEARBY MASTER ROOM.THE FLOOR AREA IS 60 SQUARE FEET. THE BATHROOM IS LOCATED ON  WEST SIDE .THE BATHROOM IS LOCATED NEARBY COMMON ROOM.THE FLOOR AREA IS 40 SQUARE FEET. #REF! THE COMMON ROOM IS LOCATED ON SOYUTHWEST CORNER.THE COMMON ROOM IS LOCATED NEARBY MASTER ROOM.THE FLOOR AREA IS 144 SQUARE FEET. THE KITCHEN IS LOCATED ON  NORTHWEST CORNER.THE KITCHEN IS LOCATED OPPOSITE TO BATH ROOM.THE FLOOR AREA IS 64 SQUARE FEET THE LIVING ROOM IS LOCATED ON NORTH EAST CORNER.THE LIVING ROOM IS LOCATED NEARBY MASTER ROOM.THE FLOOR AREA IS 600 SQUARE FEET. THE MASTER ROOM IS LOCATED ON EAST SIDE.THE MASTER ROOM IS LOCATED NEARBY COMMON ROOM.THE FLOOR AREA IS 225 SQUARE FEET. 
76373.txt,The balcony extends the length of the living room below the living room and in between the master room and the common room 1. It is about 10 feet horizontally and 3 feet vertically. The bathroom is located above common room 1. It is about 4 feet horizontally and 4 feet vertically. The common room 1 is the same size as the master room and it is located on the right across the master room with the living room in between them. It is located below the bathroom. It is about 10 feet horizontally and 12 feet vertically. the common room 2 is located on the left of the kitchen above the living room. It is about 5 feet horizontally by 5 feet vertically. The kitchen is above the living room on the right of the common room 1.It has an extension of about 3 feet longer than the common room 1. It is about 4 feet horizontally. The living room is centered in the floor plan and it is extends about 10 feet horizontally from the beginning of the master room to the beginning of the common room 1. Vertically it extends about 20 feet from the balcony to the beginning of common room 2 and the beginning of the kitchen. On the right above the common room 1 it is about 5 feet larger than in between the master room and common room 1. The master room is located on the left of the living room and above the location of the balcony. It is about 10 feet by 12 feet being longer vertically. 
20135.txt,balcony is located at north west side. It is in front of the common room-2. It has the size of 4 feet width and 5 feet length. bathroom-1 is located at south west side. It is adjacent to master room. It has the size of 5 feet width and 8 feet length. bathroom-2 is located at the center of south side in the plan. It is next to bathroom-1.  It has the size of 10 feet length and 5 feet width. common room-1 is located at north west side. It is near common room-2 and adjacent to living room. It has the size of 6 feet width and 12 feet length. common room-2  is located at north west corner. It is adjacent to common room-1. It has the size of 8 feet width and 14 feet length. common room-3 is located at north east corner. it is adjacent to the living room.  It has the size of 7 feet width and 8 feet length. Living room is occupied the entire center area of north side and of the south side excluding the bathroom-1 and bathroom-2. It has occupied a area between the common room-1 and common room-3 too. It has the area of around 580 sqr. feet. master room is located at south west corner. It is adjacent to living room. It has the size of 10 feet width and 13 feet length. 
